step,deformations,grip_force
1.0,0.00011360657663317397,0.0
2.0,0.00023514041095040739,0.0
3.0,0.00032371311681345105,0.0
4.0,0.00045216153375804424,0.0
5.0,0.0005591523949988186,0.0
6.0,0.0005816243938170373,0.0
7.0,0.0005176098784431815,0.0
8.0,0.0005913926870562136,0.0
9.0,0.0005955041269771755,0.0
10.0,0.0005638037109747529,0.0
11.0,0.0006360458210110664,0.0
12.0,0.0006744320853613317,0.0
13.0,0.0006440345896407962,0.0
14.0,0.000745053228456527,0.0
15.0,0.0008210442028939724,0.0
16.0,0.0007791953394189477,0.0
17.0,0.0007404157076962292,0.0
18.0,0.0007779680308885872,0.0
19.0,0.0008483357378281653,0.0
20.0,0.000960986246354878,0.0
21.0,0.0012033276725560427,0.0
22.0,0.0013638264499604702,0.0
23.0,0.0014671679819002748,0.0
24.0,0.001611824263818562,0.0
25.0,0.0018712303135544062,0.0
26.0,0.002242867136374116,0.0
27.0,0.002687397412955761,0.0
28.0,0.0031331172212958336,0.0
29.0,0.003556129289790988,0.0
30.0,0.003973482642322779,0.0
31.0,0.004416458774358034,0.0
32.0,0.004927721340209246,0.0
33.0,0.005516329314559698,0.0
34.0,0.0061377654783427715,0.0
35.0,0.006749300751835108,0.0
36.0,0.0073213279247283936,0.0
37.0,0.007910764776170254,0.0
38.0,0.008553736843168736,0.0
39.0,0.009227356873452663,0.0
40.0,0.009916710667312145,0.0
41.0,0.010598926804959774,0.0
42.0,0.011261050589382648,0.0
43.0,0.011901537887752056,0.0
44.0,0.012540343217551708,0.0
45.0,0.013193371705710888,0.0
46.0,0.013853050768375397,0.0
47.0,0.014506503008306026,0.0
48.0,0.015144611708819866,0.0
49.0,0.015760524198412895,0.0
50.0,0.016360385343432426,0.0
51.0,0.01696961000561714,-3.0
52.0,0.017573829740285873,-2.75
53.0,0.018164101988077164,-2.75
54.0,0.018732082098722458,-2.5
55.0,0.019274618476629257,-2.5
56.0,0.019805561751127243,-2.25
57.0,0.020332111045718193,-2.25
58.0,0.020852437242865562,-2.0
59.0,0.021394774317741394,-2.0
60.0,0.02197682484984398,-1.75
61.0,0.022527338936924934,-1.75
62.0,0.023858677595853806,-1.5
63.0,0.02532098814845085,-1.5
64.0,0.02658108063042164,-1.25
65.0,0.027616925537586212,-1.25
66.0,0.02838934399187565,-1.0
67.0,0.02890678308904171,-1.0
68.0,0.02916712313890457,-0.75
69.0,0.02921108342707157,-0.75
70.0,0.029127465561032295,-1.0
71.0,0.029063543304800987,-1.0
72.0,0.02899029664695263,-1.25
73.0,0.028831880539655685,-1.25
74.0,0.02866021916270256,-1.5
75.0,0.028463764116168022,-1.5
76.0,0.028275886550545692,-1.75
77.0,0.028101742267608643,-1.75
78.0,0.027968311682343483,-2.0
79.0,0.027947548776865005,-2.0
80.0,0.028125792741775513,-2.25
81.0,0.028296153992414474,-2.25
82.0,0.028463214635849,-2.5
83.0,0.0286328736692667,-2.5
84.0,0.028809277340769768,-2.75
85.0,0.029242800548672676,-2.75
86.0,0.02986801229417324,-2.5
87.0,0.030546894297003746,-2.5
88.0,0.031242137774825096,-2.25
89.0,0.0319332554936409,-2.25
90.0,0.032581627368927,-2.0
91.0,0.0331767238676548,-2.0
92.0,0.03368701785802841,-1.75
93.0,0.03410949185490608,-1.75
94.0,0.03441525995731354,-1.5
95.0,0.03460744395852089,-1.5
96.0,0.034694794565439224,-1.5
97.0,0.03468191251158714,-1.5
98.0,0.03462637588381767,-1.75
99.0,0.034548815339803696,-1.75
100.0,0.03447456657886505,-2.0
101.0,0.034483201801776886,-2.0
102.0,0.03446253016591072,-2.25
103.0,0.03446616232395172,-2.25
104.0,0.03451068699359894,-2.5
105.0,0.034602586179971695,-2.5
106.0,0.034764278680086136,-2.75
107.0,0.03501691669225693,-2.75
108.0,0.03531110659241676,-2.5
109.0,0.03563208878040314,-2.5
110.0,0.03594665974378586,-2.25
111.0,0.0362410806119442,-2.25
112.0,0.036486368626356125,-2.0
113.0,0.036675192415714264,-2.0
114.0,0.03681253641843796,-2.0
115.0,0.03690357878804207,-2.0
116.0,0.03698224946856499,-2.25
117.0,0.03705860674381256,-2.25
118.0,0.03716052323579788,-2.5
119.0,0.037286657840013504,-2.5
120.0,0.037459466606378555,-2.75
121.0,0.03767509013414383,-2.75
122.0,0.03792206943035126,-2.75
123.0,0.03819134086370468,-2.75
124.0,0.03844568133354187,-2.5
125.0,0.03867591172456741,-2.5
126.0,0.038854628801345825,-2.25
127.0,0.03897378221154213,-2.25
128.0,0.039072923362255096,-2.5
129.0,0.03916271775960922,-2.5
130.0,0.039273254573345184,-2.75
131.0,0.03940950706601143,-2.75
132.0,0.039590299129486084,-3.0
133.0,0.03981480747461319,-3.0
134.0,0.04003958776593208,-2.75
135.0,0.040244732052087784,-2.75
136.0,0.04042596369981766,-2.75
137.0,0.04058330878615379,-2.75
138.0,0.04074951261281967,-3.0
139.0,0.04093076288700104,-3.0
140.0,0.04111659526824951,-3.0
141.0,0.0413084402680397,-3.0
142.0,0.041499558836221695,-3.0
143.0,0.041686076670885086,-3.0
144.0,0.041862957179546356,-3.0
145.0,0.0420229434967041,-3.0
146.0,0.04218985140323639,-3.25
147.0,0.04236873611807823,-3.25
148.0,0.04258406162261963,-3.5
149.0,0.04283880442380905,-3.5
150.0,0.04309381917119026,-3.25
151.0,0.043336354196071625,-3.25
152.0,0.043548889458179474,-3.0
153.0,0.04374592378735542,-3.0
154.0,0.04393337294459343,-3.0
155.0,0.044118113815784454,-3.0
156.0,0.044305600225925446,-3.0
157.0,0.04447530582547188,-3.0
158.0,0.04463476315140724,-3.25
159.0,0.044784341007471085,-3.25
160.0,0.04495272412896156,-3.5
161.0,0.04514170438051224,-3.5
162.0,0.045348066836595535,-3.5
163.0,0.04557280242443085,-3.5
164.0,0.04578245431184769,-3.25
165.0,0.04596967250108719,-3.25
166.0,0.046139221638441086,-3.25
